Participant,Congruent,Incongruent,Difference
P-100,12.079,19.278,7.199
P-101,16.791,18.741,1.95
P-102,9.564,21.214,11.65
P-103,8.63,15.687,7.057
P-104,14.669,22.803,8.134
P-105,12.238,20.878,8.64
P-106,14.692,24.572,9.88
P-107,8.987,17.394,8.407
P-108,9.401,20.762,11.361
P-109,14.48,26.282,11.802
P-110,22.328,24.524,2.196
P-111,15.298,18.644,3.346
P-112,15.073,17.51,2.437
P-113,16.929,20.33,3.401
P-114,18.2,35.255,17.055
P-115,12.13,22.158,10.028
P-116,18.495,25.139,6.644
P-117,10.639,20.429,9.79
P-118,11.344,17.425,6.081
P-119,12.369,34.288,21.919
P-120,12.944,23.894,10.95
P-121,14.233,17.96,3.727
P-122,19.71,22.058,2.348
P-123,16.004,21.157,5.153
